region,category,parameter,mode,powertrain,year,unit,value
Australia,Historical,EV chargers,,Publicly available fast,2017,,40
Australia,Historical,EV chargers,,Publicly available slow,2017,,436
Australia,Historical,EV chargers,,Publicly available fast,2018,,61.09400177001953
Australia,Historical,EV chargers,,Publicly available slow,2018,,665.9229736328125
Australia,Historical,EV chargers,,Publicly available fast,2019,,251
Australia,Historical,EV chargers,,Publicly available slow,2019,,1679
Australia,Historical,EV chargers,,Publicly available fast,2020,,350
Australia,Historical,EV chargers,,Publicly available slow,2020,,1950
Belgium,Historical,EV chargers,,Publicly available fast,2013,,47
Belgium,Historical,EV chargers,,Publicly available slow,2013,,331
Belgium,Historical,EV chargers,,Publicly available fast,2014,,55
Belgium,Historical,EV chargers,,Publicly available slow,2014,,559
Belgium,Historical,EV chargers,,Publicly available fast,2015,,77
Belgium,Historical,EV chargers,,Publicly available slow,2015,,1335
Belgium,Historical,EV chargers,,Publicly available fast,2016,,110
Belgium,Historical,EV chargers,,Publicly available slow,2016,,1485
Belgium,Historical,EV chargers,,Publicly available fast,2017,,222
Belgium,Historical,EV chargers,,Publicly available slow,2017,,1493
Belgium,Historical,EV chargers,,Publicly available fast,2018,,242
Belgium,Historical,EV chargers,,Publicly available slow,2018,,2716
Belgium,Historical,EV chargers,,Publicly available fast,2019,,359
Belgium,Historical,EV chargers,,Publicly available slow,2019,,6070
Belgium,Historical,EV chargers,,Publicly available fast,2020,,476
Belgium,Historical,EV chargers,,Publicly available slow,2020,,8006
Canada,Historical,EV chargers,,Publicly available fast,2012,,2
Canada,Historical,EV chargers,,Publicly available slow,2012,,722
Canada,Historical,EV chargers,,Publicly available fast,2013,,7
Canada,Historical,EV chargers,,Publicly available slow,2013,,1172
Canada,Historical,EV chargers,,Publicly available fast,2014,,55
Canada,Historical,EV chargers,,Publicly available slow,2014,,2266
Canada,Historical,EV chargers,,Publicly available fast,2015,,63
Canada,Historical,EV chargers,,Publicly available slow,2015,,3361
Canada,Historical,EV chargers,,Publicly available fast,2016,,135
Canada,Historical,EV chargers,,Publicly available slow,2016,,3900
Canada,Historical,EV chargers,,Publicly available fast,2017,,673
Canada,Historical,EV chargers,,Publicly available slow,2017,,5168
Canada,Historical,EV chargers,,Publicly available fast,2018,,840
Canada,Historical,EV chargers,,Publicly available slow,2018,,7100
Canada,Historical,EV chargers,,Publicly available fast,2019,,975
Canada,Historical,EV chargers,,Publicly available slow,2019,,7976.14013671875
Canada,Historical,EV chargers,,Publicly available fast,2020,,2258
Canada,Historical,EV chargers,,Publicly available slow,2020,,10936
Chile,Historical,EV chargers,,Publicly available fast,2011,,1
Chile,Historical,EV chargers,,Publicly available slow,2011,,1
Chile,Historical,EV chargers,,Publicly available fast,2012,,4
Chile,Historical,EV chargers,,Publicly available slow,2012,,6
Chile,Historical,EV chargers,,Publicly available fast,2013,,5
Chile,Historical,EV chargers,,Publicly available slow,2013,,8
Chile,Historical,EV chargers,,Publicly available fast,2014,,5
Chile,Historical,EV chargers,,Publicly available slow,2014,,13
