region,category,parameter,mode,powertrain,year,unit,value
Australia,Historical,EV sales,Cars,BEV,2011,,49
Australia,Historical,EV sales,Cars,BEV,2012,,173
Australia,Historical,EV sales,Cars,PHEV,2012,,80
Australia,Historical,EV sales,Cars,BEV,2013,,191
Australia,Historical,EV sales,Cars,PHEV,2013,,102
Australia,Historical,EV sales,Cars,BEV,2014,,371
Australia,Historical,EV sales,Cars,PHEV,2014,,951
Australia,Historical,EV sales,Cars,BEV,2015,,759
Australia,Historical,EV sales,Cars,PHEV,2015,,1012
Australia,Historical,EV sales,Cars,BEV,2016,,668
Australia,Historical,EV sales,Cars,PHEV,2016,,701
Australia,Historical,EV sales,Cars,BEV,2017,,1208
Australia,Historical,EV sales,Cars,PHEV,2017,,1076
Australia,Historical,EV sales,Cars,BEV,2018,,1803
Australia,Historical,EV sales,Cars,PHEV,2018,,1802
Australia,Historical,EV sales,Cars,BEV,2019,,6283
Australia,Historical,EV sales,Cars,PHEV,2019,,2877
Australia,Historical,EV sales,Cars,BEV,2020,,5238
Australia,Historical,EV sales,Cars,PHEV,2020,,1307
Belgium,Historical,EV sales,Cars,BEV,2011,,175
Belgium,Historical,EV sales,Cars,PHEV,2011,,11
Belgium,Historical,EV sales,Cars,BEV,2012,,355
Belgium,Historical,EV sales,Cars,PHEV,2012,,210
Belgium,Historical,EV sales,Cars,BEV,2013,,500
Belgium,Historical,EV sales,Cars,PHEV,2013,,34
Belgium,Historical,EV sales,Cars,BEV,2014,,2047
Belgium,Historical,EV sales,Cars,PHEV,2014,,69
Belgium,Historical,EV sales,Cars,BEV,2015,,1358
Belgium,Historical,EV sales,Cars,FCEV,2015,,2
Belgium,Historical,EV sales,Cars,PHEV,2015,,2477
Belgium,Historical,EV sales,Cars,BEV,2016,,2054
Belgium,Historical,EV sales,Cars,FCEV,2016,,7
Belgium,Historical,EV sales,Cars,PHEV,2016,,6671
Belgium,Historical,EV sales,Cars,BEV,2017,,2713
Belgium,Historical,EV sales,Cars,FCEV,2017,,11
Belgium,Historical,EV sales,Cars,PHEV,2017,,11746
Belgium,Historical,EV sales,Cars,BEV,2018,,3647
Belgium,Historical,EV sales,Cars,FCEV,2018,,16
Belgium,Historical,EV sales,Cars,PHEV,2018,,9706
Belgium,Historical,EV sales,Cars,BEV,2019,,8837
Belgium,Historical,EV sales,Cars,FCEV,2019,,12
Belgium,Historical,EV sales,Cars,PHEV,2019,,8924
Belgium,Historical,EV sales,Cars,BEV,2020,,15195
Belgium,Historical,EV sales,Cars,FCEV,2020,,23
Belgium,Historical,EV sales,Cars,PHEV,2020,,33012
Brazil,Historical,EV sales,Cars,BEV,2012,,73.5999984741211
Brazil,Historical,EV sales,Cars,PHEV,2012,,18.399999618530273
Brazil,Historical,EV sales,Cars,BEV,2013,,133.60000610351562
Brazil,Historical,EV sales,Cars,PHEV,2013,,33.400001525878906
Brazil,Historical,EV sales,Cars,BEV,2014,,61
Brazil,Historical,EV sales,Cars,BEV,2015,,59
Brazil,Historical,EV sales,Cars,PHEV,2015,,28
