vehicle,wh_per_km,segment
Aiways U5,191.0,suv
Audi e-tron 50 quattro,231.0,suv
Audi e-tron 55 quattro,237.0,suv
Audi e-tron GT quattro,202.0,sedan
Audi e-tron GT RS,210.0,sedan
Audi e-tron S 55 quattro,270.0,suv
Audi e-tron S Sportback 55 quattro,258.0,suv
Audi e-tron Sportback 50 quattro,219.0,suv
Audi e-tron Sportback 55 quattro,231.0,suv
Audi Q4 e-tron 35,182.0,suv
Audi Q4 e-tron 40,189.0,suv
Audi Q4 e-tron 45 quattro,199.0,suv
Audi Q4 e-tron 50 quattro,199.0,suv
Audi Q4 Sportback e-tron 35,176.0,suv
Audi Q4 Sportback e-tron 40,180.0,suv
Audi Q4 Sportback e-tron 50 quattro,192.0,suv
BMW i3 120 Ah,161.0,hatchback
BMW i3s 120 Ah,165.0,hatchback
BMW i4 eDrive40,170.0,sedan
BMW i4 M50,179.0,sedan
BMW iX M60,217.0,suv
BMW iX xDrive40,203.0,suv
BMW iX xDrive50,208.0,suv
BMW iX3,192.0,suv
Citroen e-Berlingo M 50 kWh,225.0,spv
Citroen e-Berlingo XL 50 kWh,231.0,spv
Citroen e-C4,170.0,hatchback
Citroen e-Jumpy Combi M 50 kWh,250.0,spv
Citroen e-Jumpy Combi M 75 kWh,260.0,spv
Citroen e-Jumpy Combi XL 50 kWh,257.0,spv
Citroen e-Jumpy Combi XL 75 kWh,260.0,spv
Citroen e-Jumpy Combi XS 50 kWh,250.0,spv
Citroen e-SpaceTourer M 50 kWh,250.0,spv
Citroen e-SpaceTourer M 75 kWh,260.0,spv
Citroen e-SpaceTourer XL 50 kWh,257.0,spv
Citroen e-SpaceTourer XL 75 kWh,260.0,spv
Citroen e-SpaceTourer XS 50 kWh,250.0,spv
CUPRA Born 110 kW - 45 kWh,164.0,hatchback
CUPRA Born 150 kW - 58 kWh,166.0,hatchback
CUPRA Born 170 kW - 58 kWh,168.0,hatchback
CUPRA Born 170 kW - 77 kWh,171.0,hatchback
Dacia Spring Electric,158.0,hatchback
DS 3 Crossback E-Tense,173.0,suv
Fiat 500e 3+1,159.0,hatchback
Fiat 500e Cabrio,162.0,cabrio
Fiat 500e Hatchback 24 kWh,158.0,hatchback
Fiat 500e Hatchback 42 kWh,159.0,hatchback
Ford Mustang Mach-E ER AWD,210.0,suv
Ford Mustang Mach-E ER RWD,200.0,suv
Ford Mustang Mach-E GT,215.0,suv
Ford Mustang Mach-E SR AWD,206.0,suv
Ford Mustang Mach-E SR RWD,197.0,suv
Honda e,168.0,hatchback
Honda e Advance,168.0,hatchback
Hyundai IONIQ 5 Long Range 2WD,184.0,suv
Hyundai IONIQ 5 Long Range AWD,189.0,suv
Hyundai IONIQ 5 Standard Range 2WD,183.0,suv
Hyundai IONIQ 5 Standard Range AWD,186.0,suv
Hyundai IONIQ Electric,153.0,sedan
Hyundai Kona Electric 39 kWh,157.0,suv
Hyundai Kona Electric 64 kWh,162.0,suv
JAC iEV7s,173.0,suv
Jaguar I-Pace EV400,223.0,suv
Kia e-Niro 39 kWh,167.0,suv
Kia e-Niro 64 kWh,173.0,suv
Kia e-Soul 39 kWh,170.0,suv
Kia e-Soul 64 kWh,173.0,suv
Kia EV6 GT,201.0,suv
Kia EV6 Long Range 2WD,181.0,suv
Kia EV6 Long Range AWD,186.0,suv
Kia EV6 Standard Range 2WD,177.0,suv
Lexus UX 300e,191.0,suv
Lightyear One,104.0,sedan
Lucid Air Grand Touring,167.0,sedan
Lucid Air Pure,157.0,sedan
Lucid Air Touring,160.0,sedan
Mazda MX-30,176.0,suv
Mercedes EQA 250,187.0,suv
Mercedes EQA 300 4MATIC,190.0,suv
