region,year,product,lge_per_100km
Argentina,2005,Diesel,7.32
Argentina,2005,Petrol,8.68
Argentina,2008,CNG,8.69
Argentina,2008,Diesel,7.98
Argentina,2008,Petrol,8.41
Argentina,2010,Diesel,9.0
Argentina,2010,Petrol,7.78
Argentina,2011,Diesel,9.18
Argentina,2011,Petrol,7.86
Argentina,2012,All vehicles,7.92
Argentina,2012,City car,7.65
Argentina,2012,Diesel,8.39
Argentina,2012,Large car,8.7
Argentina,2012,Large SUV/Pick-up,9.24
Argentina,2012,Medium car,8.19
Argentina,2012,Petrol,7.85
Argentina,2012,Small SUV/Pick-up,8.86
Argentina,2012,Van/LCV,7.19
Argentina,2013,All vehicles,7.93
Argentina,2013,City car,7.58
Argentina,2013,Diesel,8.5
Argentina,2013,Large car,8.63
Argentina,2013,Large SUV/Pick-up,9.19
Argentina,2013,Medium car,8.22
Argentina,2013,Petrol,7.85
Argentina,2013,Small SUV/Pick-up,8.87
Argentina,2013,Van/LCV,7.2
Argentina,2014,All vehicles,7.77
Argentina,2014,City car,7.3
Argentina,2014,Diesel,8.19
Argentina,2014,Hybrid,9.81
Argentina,2014,Large car,8.73
Argentina,2014,Large SUV/Pick-up,8.78
Argentina,2014,Medium car,7.95
Argentina,2014,Petrol,7.71
Argentina,2014,Small SUV/Pick-up,8.8
Argentina,2014,Van/LCV,7.75
Argentina,2015,All vehicles,7.73
Argentina,2015,City car,7.39
Argentina,2015,Diesel,8.29
Argentina,2015,Large car,8.54
Argentina,2015,Large SUV/Pick-up,8.76
Argentina,2015,Medium car,7.58
Argentina,2015,Petrol,7.63
Argentina,2015,Small SUV/Pick-up,8.6
Argentina,2015,Van/LCV,7.5
Argentina,2016,All vehicles,7.86
Argentina,2016,City car,7.29
Argentina,2016,Diesel,8.05
Argentina,2016,Hybrid,4.41
Argentina,2016,Large car,8.33
Argentina,2016,Large SUV/Pick-up,8.88
Argentina,2016,Medium car,7.77
Argentina,2016,Petrol,7.81
Argentina,2016,Small SUV/Pick-up,8.84
Argentina,2016,Van/LCV,7.88
Argentina,2017,All vehicles,7.96
Argentina,2017,City car,7.5
Argentina,2017,Diesel,8.18
Argentina,2017,Hybrid,4.41
Argentina,2017,Large car,8.69
Argentina,2017,Large SUV/Pick-up,8.81
Argentina,2017,Medium car,7.62
Argentina,2017,Petrol,7.89
