region,parameter,powertrain,year,unit,value
Australia,EV sales,BEV,2011,N/A,49.0
Australia,EV sales share,EV,2011,percent,0.006
Australia,EV sales,BEV,2012,N/A,173.0
Australia,EV sales,PHEV,2012,N/A,80.0
Australia,EV sales share,EV,2012,percent,0.029
Australia,EV sales,BEV,2013,N/A,191.0
Australia,EV sales,PHEV,2013,N/A,102.0
Australia,EV sales share,EV,2013,percent,0.033
Australia,EV sales,BEV,2014,N/A,371.0
Australia,EV sales,PHEV,2014,N/A,951.0
Australia,EV sales share,EV,2014,percent,0.149
Australia,EV sales,BEV,2015,N/A,759.0
Australia,EV sales,PHEV,2015,N/A,1012.0
Australia,EV sales share,EV,2015,percent,0.191
Australia,EV sales,BEV,2016,N/A,668.0
Australia,EV sales,PHEV,2016,N/A,701.0
Australia,EV sales share,EV,2016,percent,0.147
Australia,EV sales,BEV,2017,N/A,1208.0
Australia,EV sales,PHEV,2017,N/A,1076.0
Australia,EV sales share,EV,2017,percent,0.249
Australia,EV sales,BEV,2018,N/A,1803.0
Australia,EV sales,PHEV,2018,N/A,1802.0
Australia,EV sales share,EV,2018,percent,0.411
Australia,EV sales,BEV,2019,N/A,6283.0
Australia,EV sales,PHEV,2019,N/A,2877.0
Australia,EV sales share,EV,2019,percent,1.133
Australia,EV sales,BEV,2020,N/A,5238.0
Australia,EV sales,PHEV,2020,N/A,1307.0
Australia,EV sales share,EV,2020,percent,0.951
Belgium,EV sales,BEV,2011,N/A,175.0
Belgium,EV sales,PHEV,2011,N/A,11.0
Belgium,EV sales share,EV,2011,percent,0.033
Belgium,EV sales,BEV,2012,N/A,355.0
Belgium,EV sales,PHEV,2012,N/A,210.0
Belgium,EV sales share,EV,2012,percent,0.116
Belgium,EV sales,BEV,2013,N/A,500.0
Belgium,EV sales,PHEV,2013,N/A,34.0
Belgium,EV sales share,EV,2013,percent,0.11
Belgium,EV sales,BEV,2014,N/A,2047.0
Belgium,EV sales,PHEV,2014,N/A,69.0
Belgium,EV sales share,EV,2014,percent,0.438
