region,year,total_sales
Australia,2011,816666.6595679191
Australia,2012,872413.8182068559
Australia,2013,887878.7926898516
Australia,2014,887248.2987224704
Australia,2015,927225.1326261861
Australia,2016,931292.5177620321
Australia,2017,917269.0837706784
Australia,2018,877128.9252775314
Australia,2019,808473.068749038
Australia,2020,688222.9411828119
Belgium,2011,563636.366690486
Belgium,2012,487068.9795324838
Belgium,2013,485454.54808503145
Belgium,2014,483105.0299312621
Belgium,2015,501568.6368300613
Belgium,2016,540012.3739981019
Belgium,2017,546863.2086420341
Belgium,2018,550391.1299254689
Belgium,2019,550418.0704886097
Belgium,2020,431704.2633049391
Brazil,2012,3066666.576431858
Brazil,2013,3340000.2272427133
Brazil,2014,3049999.85513278
Brazil,2015,2174999.896693048
Brazil,2016,1730000.0386685142
Brazil,2017,1858823.4283932408
Brazil,2018,1605263.2095121958
Brazil,2019,2275000.0306715574
Brazil,2020,1708620.7388201465
Canada,2011,1268292.6478944751
Canada,2012,1364864.847275182
Canada,2013,1405405.3872932566
Canada,2014,1418767.5335330395
Canada,2015,1516339.8976358382
Canada,2016,1539893.6697487235
Canada,2017,1638968.6222181523
Canada,2018,1603122.7605512992
Canada,2019,1569074.6901566256
Canada,2020,1236276.1414067051
Chile,2011,299999.98575076525
Chile,2012,249999.98812563773
Chile,2013,249999.98812563773
Chile,2014,242857.1353609467
Chile,2015,189473.69030307885
Chile,2016,206666.67128602674
Chile,2017,221666.6716213029
Chile,2018,249295.76648579945
Chile,2019,211347.51379942615
Chile,2020,148062.02330287607
China,2010,14300000.319629915
China,2011,14911763.89549641
China,2012,15967742.196448019
China,2013,18481928.414280303
China,2014,20669923.95663038
China,2015,21968432.070228413
China,2016,24833702.05978315
China,2017,24860455.171676733
China,2018,24246718.096359335
China,2019,22192902.055655956
China,2020,20197737.186053522
Denmark,2010,154838.71220798077
Denmark,2011,170161.29310356223
Denmark,2012,170790.37296939682
Denmark,2013,182181.8142331337
Denmark,2014,190107.27358546597
Denmark,2015,213299.57627764868
Denmark,2016,226964.7380266068
Denmark,2017,225466.89814992846
Denmark,2018,223459.15646980103
Denmark,2019,235037.39306838153
Denmark,2020,198820.15157346937
Finland,2011,119999.99821186067
Finland,2012,107185.63149695106
Finland,2013,103317.53776314497
Finland,2014,106796.11638125156
Finland,2015,109600.0
Finland,2016,120370.37404223661
Finland,2017,121567.8466409735
Finland,2018,126165.74319732533
Finland,2019,114202.8969722845
Finland,2020,96408.66784535693
France,2010,2337499.8889747127
France,2011,2163619.015726283
France,2012,1858160.1690295693
France,2013,1757952.4971241031
France,2014,1764804.418735271
France,2015,1886359.8895712541
France,2016,1984599.8807746759
France,2017,2082024.3725242892
France,2018,2138873.6114301183
France,2019,2176222.5166153754
France,2020,1633068.2241886393
Germany,2010,3200000.0715255756
Germany,2011,3236538.394760981
Germany,2012,3119266.1300972565
Germany,2013,2971794.90510189
Germany,2014,3049042.970028062
Germany,2015,3238857.962379507
Germany,2016,3376131.8153253444
Germany,2017,3496156.3335529403
Germany,2018,3504307.130039206
Germany,2019,3723229.434766909
