region,year,geo_type,CO2e_grams_per_km_electric
Afghanistan,2019,Countries,18.801376132466455
Albania,2019,Countries,4.846582138095819
Algeria,2019,Countries,97.69533264303556
American Samoa,2019,Countries,130.77522935779817
Angola,2019,Countries,26.444611081785737
Antigua and Barbuda,2019,Countries,125.43135591094584
Argentina,2019,Countries,70.04898154609779
Armenia,2019,Countries,41.1661090966661
Aruba,2019,Countries,111.82351105824931
Australia,2019,Countries,117.14983011245299
Austria,2019,Countries,32.72915215100591
Azerbaijan,2019,Countries,106.6430474153477
Bahamas,2019,Countries,130.55272174526576
Bahrain,2019,Countries,98.58569069588184
Bangladesh,2019,Countries,105.56924374778673
Barbados,2019,Countries,125.97674479492618
Belarus,2019,Countries,96.50471674748341
Belgium,2019,Countries,38.50789769964141
Belize,2019,Countries,26.758113481746843
Benin,2019,Countries,105.86538028763366
Bermuda,2019,Countries,130.77522935779817
Bhutan,2019,Countries,4.829756473427495
Bolivia,2019,Countries,64.10132536440763
Bosnia and Herzegovina,2019,Countries,102.90330363726251
Botswana,2019,Countries,164.72056753487277
Brazil,2019,Countries,26.156537700511933
British Virgin Islands,2019,Countries,127.925911342677
Brunei,2019,Countries,98.54036421802051
Bulgaria,2019,Countries,75.48977319328255
Burkina Faso,2019,Countries,111.35632348376282
Burundi,2019,Countries,46.89284834789359
Cambodia,2019,Countries,77.91695657191734
Cameroon,2019,Countries,43.300590007142695
Canada,2019,Countries,27.485406009419204
Cayman Islands,2019,Countries,127.94478062978142
Central African Republic,2019,Countries,5.662707339804305
Chad,2019,Countries,125.76631624685947
Chile,2019,Countries,79.07472854216084
China,2019,Countries,110.61437425939089
Colombia,2019,Countries,36.43927654008406
Comoros,2019,Countries,130.34488789379074
Congo,2019,Countries,68.97149597424966
Cook Islands,2019,Countries,100.91059453645492
Costa Rica,2019,Countries,13.64099907682196
Croatia,2019,Countries,49.10510179887517
Cuba,2019,Countries,123.9371260807556
Cyprus,2019,Countries,118.72876036242414
Czechia,2019,Countries,87.56566346562238
Democratic Republic of Congo,2019,Countries,5.015068058224337
Denmark,2019,Countries,47.46806144352577
Djibouti,2019,Countries,127.80641062785142
Dominica,2019,Countries,101.17642842209983
Dominican Republic,2019,Countries,114.69972672697568
Ecuador,2019,Countries,28.77658238742637
Egypt,2019,Countries,93.41981685854654
El Salvador,2019,Countries,65.9947675866771
Equatorial Guinea,2019,Countries,57.953381533709035
Eritrea,2019,Countries,116.15046567749444
Estonia,2019,Countries,106.98439002649525
Ethiopia,2019,Countries,4.898065587672864
Falkland Islands,2019,Countries,87.0510614166202
Faroe Islands,2019,Countries,75.64475288850228
Fiji,2019,Countries,57.95576675371695
Finland,2019,Countries,38.01587532005341
France,2019,Countries,14.02585602845293
French Guiana,2019,Countries,54.378951273239565
French Polynesia,2019,Countries,85.04052919615367
Gabon,2019,Countries,62.55430583868233
Gambia,2019,Countries,129.60645404760052
Georgia,2019,Countries,26.461426078531684
