region,year,CO2e_grams_per_km_petrol
Argentina,2019,183.19400415420532
Australia,2019,199.16598892211914
Brazil,2019,229.9
Canada,2019,212.23401107788087
Chile,2019,191.42199630737304
China,2019,180.0480013847351
France,2019,141.32800369262696
Germany,2019,161.8980013847351
India,2019,133.34200553894044
Italy,2019,148.3460027694702
Japan,2019,130.92199630737304
Malaysia,2019,166.98000230789185
Mexico,2019,162.13999538421632
Russia,2019,202.31199169158936
South Africa,2019,171.33599815368652
South Korea,2019,157.54200553894043
Turkey,2019,158.02600507736207
Ukraine,2019,192.1480013847351
United Kingdom,2019,162.13999538421632
United States,2019,208.8460027694702
