region,year,CO2e_grams_per_km_electric,CO2e_grams_per_km_petrol,absolute_diff,percentage_diff
Argentina,2019,70.04898154609779,183.19400415420532,113.14502260810752,-0.6176240490538468
Australia,2019,117.14983011245299,199.16598892211914,82.01615880966615,-0.4117980145783693
Brazil,2019,26.156537700511933,229.9,203.74346229948807,-0.8862264562831147
Canada,2019,27.485406009419204,212.23401107788087,184.74860506846167,-0.870494809621568
Chile,2019,79.07472854216084,191.42199630737304,112.3472677652122,-0.5869088711456767
China,2019,110.61437425939089,180.0480013847351,69.43362712534422,-0.385639532743133
France,2019,14.02585602845293,141.32800369262696,127.30214766417403,-0.9007567101920039
Germany,2019,73.5781778983078,161.8980013847351,88.3198234864273,-0.5455275712548402
India,2019,124.68837696719358,133.34200553894044,8.653628571746864,-0.06489799322254608
Italy,2019,72.04204508977722,148.3460027694702,76.30395767969299,-0.5143647705713338
Japan,2019,95.61477554913897,130.92199630737304,35.30722075823407,-0.26968135037706953
Malaysia,2019,110.13609414356293,166.98000230789185,56.84390816432892,-0.3404234481894144
Mexico,2019,88.79459367614359,162.13999538421632,73.34540170807273,-0.45235847906785254
Russia,2019,74.51290702480787,202.31199169158936,127.79908466678148,-0.631693077598694
South Africa,2019,145.57234409766286,171.33599815368652,25.763654056023654,-0.15036918297177648
South Korea,2019,97.99564154586419,157.54200553894043,59.54636399307624,-0.37797134668542653
Turkey,2019,82.99313083810165,158.02600507736207,75.03287423926042,-0.4748134599905115
Ukraine,2019,60.11494344914602,192.1480013847351,132.03305793558908,-0.6871424994487517
United Kingdom,2019,54.64178365663884,162.13999538421632,107.49821172757748,-0.662996267348124
United States,2019,79.35881454812433,208.8460027694702,129.4871882213459,-0.6200127678013416
